gene_id,symbol,gene_name,log2_fold_change,logCPM,LR,PValue,FDR,entrezgene_id
ENSCAFG00845008628,UBXN1,UBX domain protein 1 [Source:HGNC Symbol;Acc:HGNC:18402],2.318716774,8.052387516,218.2160548,2.22E-49,5.75E-47,476055
ENSCAFG00845019400,COPE,COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234],2.290961538,8.293158848,216.7322292,4.67E-49,1.19E-46,476663
ENSCAFG00845019602,PRR13,proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528],2.554098413,8.50986099,216.6504431,4.86E-49,1.21E-46,100688649
ENSCAFG00845007374,AHSA1,activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189],2.090168933,7.645942133,216.5810207,5.04E-49,1.23E-46,480402
ENSCAFG00845009822,AIP,aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358],2.205030972,6.838739938,215.7046951,7.82E-49,1.88E-46,610467
ENSCAFG00845031034,PRAF2,PRA1 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:28911],3.041150054,7.304069496,214.9256504,1.16E-48,2.73E-46,480912
ENSCAFG00845013518,STMN1,,2.752025058,9.900003099,214.634142,1.34E-48,3.11E-46,478175
ENSCAFG00845025797,PHB2,prohibitin 2 [Source:HGNC Symbol;Acc:HGNC:30306],1.909534643,7.873602748,212.1545518,4.65E-48,1.06E-45,486716
ENSCAFG00845001263,HSPBP1,HSPA (Hsp70) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:24989],2.626942832,5.547983888,211.6169498,6.10E-48,1.37E-45,476381
ENSCAFG00845018673,PRKCSH,protein kinase C substrate 80K-H [Source:HGNC Symbol;Acc:HGNC:9411],1.946798388,8.452655479,209.7870687,1.53E-47,3.37E-45,484941
ENSCAFG00845009197,ARHGDIA,Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678],1.815318457,9.313691836,209.712608,1.59E-47,3.44E-45,475924
ENSCAFG00845021007,ARHGDIB,Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679],2.278600247,9.880876485,209.5464408,1.73E-47,3.68E-45,486666
ENSCAFG00845030809,COX8A,cytochrome c oxidase subunit VIIIA (ubiquitous) [Source:NCBI gene (formerly Entrezgene);Acc:476040],2.285363648,8.296459266,208.0509772,3.66E-47,7.68E-45,476041
ENSCAFG00845011260,RBM8A,RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905],1.795259739,7.391705669,207.3168744,5.29E-47,1.09E-44,475827
ENSCAFG00845014235,TSPO,translocator protein [Source:HGNC Symbol;Acc:HGNC:1158],2.478852585,8.05952419,206.6293843,7.47E-47,1.52E-44,474475
ENSCAFG00845009045,ARPC4,actin related protein 2/3 complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:707],2.281237777,10.26782424,205.3983911,1.39E-46,2.74E-44,106560075
ENSCAFG00845022781,SNRPD3,small nuclear ribonucleoprotein D3 polypeptide [Source:HGNC Symbol;Acc:HGNC:11160],2.311689392,7.119008423,205.3958496,1.39E-46,2.74E-44,607772
ENSCAFG00845006500,SIRT6,sirtuin 6 [Source:HGNC Symbol;Acc:HGNC:14934],2.169838114,5.183412011,203.0910725,4.42E-46,8.35E-44,485045
ENSCAFG00845012776,SRSF6,serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788],1.726168926,9.071110145,201.9004327,8.04E-46,1.50E-43,403667
ENSCAFG00845025852,VMP1,vacuole membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29559],2.721460033,9.760702896,201.6578018,9.08E-46,1.65E-43,119881609
ENSCAFG00845029833,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372],2.60848566,6.874075033,198.8420355,3.74E-45,6.68E-43,480894
ENSCAFG00845007701,SLIRP,,3.13304861,5.503621103,198.0171935,5.66E-45,9.98E-43,490810
ENSCAFG00845016341,NUP35,nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797],2.190164154,5.206215356,197.9206507,5.94E-45,1.03E-42,478830
ENSCAFG00845010312,ALDH7A1,aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877],3.505653702,6.393463222,195.7581194,1.76E-44,3.02E-42,481486
ENSCAFG00845001628,EMP3,,2.704952769,10.12610696,194.1677176,3.91E-44,6.64E-42,484408
ENSCAFG00845002628,,,2.36754007,7.967777905,193.6471416,5.08E-44,8.52E-42,100686872
ENSCAFG00845011022,CCM2,CCM2 scaffold protein [Source:HGNC Symbol;Acc:HGNC:21708],2.250040516,7.188424464,193.5077874,5.45E-44,9.02E-42,100856167
ENSCAFG00845012760,GBA,glucosylceramidase beta [Source:HGNC Symbol;Acc:HGNC:4177],2.322492147,7.055213032,193.2918525,6.08E-44,9.93E-42,612206
ENSCAFG00845020453,RPS27L,ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476],2.191848989,7.743325531,192.8111961,7.74E-44,1.25E-41,610569
ENSCAFG00845004690,PAF1,"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]",2.068393594,6.764476011,192.4218229,9.41E-44,1.50E-41,476464
ENSCAFG00845001816,CHTOP,chromatin target of PRMT1 [Source:HGNC Symbol;Acc:HGNC:24511],1.784052627,8.255011617,188.9164355,5.48E-43,8.63E-41,480140
ENSCAFG00845023315,IRF3,interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118],1.915110607,8.141183646,188.7450892,5.97E-43,9.30E-41,476412
ENSCAFG00845003100,TARDBP,TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571],1.699409662,7.393956917,188.4344221,6.98E-43,1.07E-40,478234
ENSCAFG00845018394,MRPL44,mitochondrial ribosomal protein L44 [Source:HGNC Symbol;Acc:HGNC:16650],2.535616198,6.592951707,187.8757377,9.25E-43,1.41E-40,100855653
ENSCAFG00845027786,TAF11,TATA-box binding protein associated factor 11 [Source:HGNC Symbol;Acc:HGNC:11544],1.978600161,5.974769912,187.4900471,1.12E-42,1.69E-40,474881
ENSCAFG00845006874,CD74,CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697],2.486974554,13.48480868,186.923183,1.49E-42,2.22E-40,479329
ENSCAFG00845011382,POLR3GL,RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466],2.559887495,5.661225825,186.3076367,2.03E-42,2.99E-40,608346
ENSCAFG00845003611,MRPS11,mitochondrial ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:14050],2.669683698,5.931117548,186.1827494,2.17E-42,3.15E-40,488727
ENSCAFG00845024647,TP53,tumor protein p53 [Source:NCBI gene (formerly Entrezgene);Acc:403869],2.164452962,7.704739164,185.802117,2.62E-42,3.77E-40,403869
ENSCAFG00845030562,TRMT112,tRNA methyltransferase activator subunit 11-2 [Source:HGNC Symbol;Acc:HGNC:26940],2.600880304,5.556482845,181.9894185,1.78E-41,2.54E-39,476033
ENSCAFG00845007071,ESD,esterase D [Source:HGNC Symbol;Acc:HGNC:3465],1.586071168,6.320352008,181.8558955,1.91E-41,2.68E-39,607116
ENSCAFG00845020365,CTDNEP1,CTD nuclear envelope phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:19085],1.967838522,7.599878397,181.1780289,2.68E-41,3.73E-39,607484
ENSCAFG00845022269,COX5B,cytochrome c oxidase subunit 5B [Source:NCBI gene (formerly Entrezgene);Acc:474567],2.681996552,8.202623202,180.4214926,3.92E-41,5.40E-39,474567
ENSCAFG00845013998,CWC25,CWC25 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:25989],2.078689357,6.354895694,179.6662272,5.73E-41,7.82E-39,480536
ENSCAFG00845019800,ANP32A,acidic nuclear phosphoprotein 32 family member A [Source:NCBI gene (formerly Entrezgene);Acc:403534],1.625253624,8.161700777,178.2803141,1.15E-40,1.55E-38,403534
ENSCAFG00845012400,RBM14,RNA binding motif protein 14 [Source:HGNC Symbol;Acc:HGNC:14219],1.765149109,8.37953785,178.0222044,1.31E-40,1.75E-38,610648
ENSCAFG00845016992,DUSP11,dual specificity phosphatase 11 [Source:HGNC Symbol;Acc:HGNC:3066],1.735566688,6.531506926,177.8645587,1.42E-40,1.88E-38,483110
ENSCAFG00845022451,PSMD4,"proteasome 26S subunit ubiquitin receptor, non-ATPase 4 [Source:NCBI gene (formerly Entrezgene);Acc:100192385]",2.20060423,7.61956011,177.6060831,1.61E-40,2.12E-38,100192385
ENSCAFG00845004479,UBE2K,ubiquitin conjugating enzyme E2 K [Source:HGNC Symbol;Acc:HGNC:4914],1.753340496,6.810423761,177.3390406,1.85E-40,2.40E-38,609531
ENSCAFG00845017494,FRG1,,2.111769428,5.42945345,176.8702764,2.34E-40,3.00E-38,100856082
ENSCAFG00845012267,ZNF207,zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998],1.995820738,8.056329748,176.3161414,3.09E-40,3.93E-38,119881612
ENSCAFG00845000439,RUVBL2,RuvB like AAA ATPase 2 [Source:HGNC Symbol;Acc:HGNC:10475],2.101488958,6.341162649,175.258792,5.26E-40,6.62E-38,476418
ENSCAFG00845003640,#N/A,#N/A,2.624117879,5.174300477,175.0840565,5.74E-40,7.16E-38,#N/A
ENSCAFG00845004436,HSPB1,heat shock protein family B (small) member 1 [Source:NCBI gene (formerly Entrezgene);Acc:403979],3.318259351,7.004811356,174.6661461,7.08E-40,8.76E-38,403979
ENSCAFG00845023788,GALK1,galactokinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:403694],2.378279418,12.25732437,174.3949341,8.12E-40,9.94E-38,475916
ENSCAFG00845000991,RPS25,ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413],2.070663792,10.76632573,174.0273788,9.76E-40,1.19E-37,479412
ENSCAFG00845021145,TUBA1B,tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809],2.464571711,10.8901407,173.5665115,1.23E-39,1.48E-37,119866377
ENSCAFG00845005495,,,2.068898239,10.01788082,173.2636515,1.43E-39,1.71E-37,480438
ENSCAFG00845009475,MRPL33,mitochondrial ribosomal protein L33 [Source:NCBI gene (formerly Entrezgene);Acc:611180],1.841841029,5.882119756,172.4359647,2.17E-39,2.57E-37,475709
ENSCAFG00845021139,RAB1A,"RAB1A, member RAS onco family [Source:NCBI gene (formerly Entrezgene);Acc:403774]",1.894485792,8.304212157,172.3445067,2.28E-39,2.66E-37,403774
ENSCAFG00845010054,CCDC28A,coiled-coil domain containing 28A [Source:HGNC Symbol;Acc:HGNC:21098],2.015749687,5.857478715,172.3121743,2.31E-39,2.68E-37,476220
ENSCAFG00845018527,RUVBL1,RuvB like AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:10474],2.35683642,7.263381889,170.9502641,4.59E-39,5.28E-37,476512
ENSCAFG00845023892,,,2.232546964,6.298159906,170.8487796,4.83E-39,5.51E-37,487870
ENSCAFG00845023459,OAZ2,ornithine decarboxylase antizyme 2 [Source:NCBI gene (formerly Entrezgene);Acc:478343],2.243776491,7.258697161,170.8045874,4.94E-39,5.58E-37,478343
ENSCAFG00845003288,NBL1,,2.025545809,6.547931592,170.1999514,6.69E-39,7.50E-37,612968
ENSCAFG00845028079,TRAPPC5,trafficking protein particle complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:23067],1.991831153,6.744965662,170.1089825,7.00E-39,7.79E-37,484997
ENSCAFG00845025328,YBX3,Y-box binding protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:403728],2.770451842,8.198342084,169.7557395,8.37E-39,9.22E-37,403728
ENSCAFG00845012384,OAZ1,ornithine decarboxylase antizyme 1 [Source:NCBI gene (formerly Entrezgene);Acc:476749],2.055684046,11.66584707,169.3190019,1.04E-38,1.14E-36,476749
ENSCAFG00845021451,SRSF7,,1.765789656,7.300882537,168.8330641,1.33E-38,1.44E-36,475730
ENSCAFG00845003605,PDAP1,PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634],1.581595079,6.506864478,168.8124618,1.34E-38,1.45E-36,489861
ENSCAFG00845021819,SLC25A6,solute carrier family 25 member 6 [Source:HGNC Symbol;Acc:HGNC:10992],1.6641295,10.87330896,168.0212846,2.00E-38,2.14E-36,480830
ENSCAFG00845010340,MAD2L1BP,MAD2L1 binding protein [Source:HGNC Symbol;Acc:HGNC:21059],2.366917967,5.408480074,167.5884881,2.49E-38,2.63E-36,474916
ENSCAFG00845012085,HMGN2,high mobility group nucleosomal binding domain 2 [Source:NCBI gene (formerly Entrezgene);Acc:403686],1.824892892,8.97614207,166.2025067,5.00E-38,5.25E-36,403686
ENSCAFG00845007665,MRPL2,mitochondrial ribosomal protein L2 [Source:HGNC Symbol;Acc:HGNC:14056],2.649205595,5.603548754,165.5596447,6.90E-38,7.08E-36,474908
ENSCAFG00845006148,#N/A,#N/A,2.491699731,6.77736931,165.4452924,7.31E-38,7.44E-36,#N/A
ENSCAFG00845024912,CRIP1,cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360],2.65159627,11.00558491,165.3630069,7.62E-38,7.70E-36,612713
ENSCAFG00845019420,INO80B,INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324],2.1306307,5.976015585,164.8708993,9.76E-38,9.78E-36,483105
ENSCAFG00845026138,PEDS1,plasmanylethanolamine desaturase 1 [Source:HGNC Symbol;Acc:HGNC:16735],1.965968198,6.322985901,164.5228622,1.16E-37,1.16E-35,611401
ENSCAFG00845020536,SLC39A7,solute carrier family 39 member 7 [Source:VGNC Symbol;Acc:VGNC:46406],1.536790121,7.646867468,163.202508,2.26E-37,2.21E-35,481736
ENSCAFG00845022102,RBM12,copine 1 [Source:NCBI gene (formerly Entrezgene);Acc:477213],1.393790683,8.675979163,162.6563876,2.97E-37,2.89E-35,477213
ENSCAFG00845025500,#N/A,#N/A,2.010161359,9.53702643,162.2929475,3.57E-37,3.45E-35,#N/A
ENSCAFG00845004317,#N/A,#N/A,2.776116203,4.123310437,161.5268357,5.25E-37,5.00E-35,#N/A
ENSCAFG00845018577,ENSA,endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360],1.893936923,8.337087649,160.7656258,7.70E-37,7.27E-35,475837
ENSCAFG00845003544,TAF13,TATA-box binding protein associated factor 13 [Source:NCBI gene (formerly Entrezgene);Acc:100688743],1.950427531,6.395690428,160.5273163,8.68E-37,8.14E-35,490126
ENSCAFG00845016276,TRIR,telomerase RNA component interacting RNase [Source:HGNC Symbol;Acc:HGNC:28424],2.022708303,8.527801192,160.1322749,1.06E-36,9.86E-35,476700
ENSCAFG00845007765,SEC61B,SEC61 translocon subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:404018],2.795474794,8.406753156,159.8975122,1.19E-36,1.10E-34,404018
ENSCAFG00845021252,PSMC3,,2.084397626,7.275147243,159.4002258,1.53E-36,1.41E-34,475980
ENSCAFG00845020393,SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit [Source:HGNC Symbol;Acc:HGNC:11467]",2.099935313,7.9371648,159.103116,1.78E-36,1.62E-34,609757
ENSCAFG00845013733,GNAS,GNAS complex locus [Source:NCBI gene (formerly Entrezgene);Acc:403943],1.802705039,8.334225805,158.6240811,2.26E-36,2.05E-34,403943
ENSCAFG00845029617,RAN,"RAN, member RAS onco family [Source:NCBI gene (formerly Entrezgene);Acc:100499482]",1.946559394,8.785376154,157.9308125,3.20E-36,2.85E-34,100499482
ENSCAFG00845012221,KAT8,lysine acetyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:17933],1.966610814,7.119525532,157.9287311,3.21E-36,2.85E-34,479777
ENSCAFG00845029014,EIF1AX,eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250],1.759693818,6.522812195,157.5288041,3.92E-36,3.46E-34,119868387
ENSCAFG00845011824,RPL27A,ribosomal protein L27a [Source:NCBI gene (formerly Entrezgene);Acc:611398],2.00095806,10.58558365,156.931069,5.30E-36,4.61E-34,611398
ENSCAFG00845016418,SRSF2,serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783],1.65597262,8.841455785,156.4902731,6.62E-36,5.72E-34,100856058
ENSCAFG00845008822,RPL23A,,3.012063059,9.531756583,156.2860108,7.33E-36,6.30E-34,106558887
ENSCAFG00845002358,CFAP20,cilia and flagella associated protein 20 [Source:HGNC Symbol;Acc:HGNC:29523],2.00905778,5.786993028,155.1262344,1.31E-35,1.12E-33,487256
ENSCAFG00845003906,TFPT,TCF3 fusion partner [Source:HGNC Symbol;Acc:HGNC:13630],2.57284345,5.518622553,155.0525071,1.36E-35,1.16E-33,611475
ENSCAFG00845001404,PSENEN,"presenilin enhancer, gamma-secretase subunit [Source:NCBI gene (formerly Entrezgene);Acc:476479]",1.988211114,6.571651194,154.6106758,1.70E-35,1.44E-33,476479
ENSCAFG00845022544,LSM4,"LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:NCBI gene (formerly Entrezgene);Acc:609922]",1.966942087,6.5239637,154.5087858,1.79E-35,1.50E-33,609922
ENSCAFG00845028478,ARID5A,,2.127455204,6.982942657,154.2928866,2.00E-35,1.66E-33,483050
ENSCAFG00845019885,UQCRH,,1.968026184,8.342783239,154.0051376,2.31E-35,1.91E-33,608530
ENSCAFG00845014671,UBXN6,UBX domain protein 6 [Source:HGNC Symbol;Acc:HGNC:14928],1.782890376,7.860262315,153.8489759,2.50E-35,2.05E-33,485037
ENSCAFG00845009201,#N/A,#N/A,3.262327102,7.759052348,153.4118933,3.11E-35,2.54E-33,#N/A
ENSCAFG00845005094,VASP,vasodilator stimulated phosphoprotein [Source:NCBI gene (formerly Entrezgene);Acc:403936],2.646819483,10.89162335,153.1197846,3.61E-35,2.93E-33,403936
ENSCAFG00845000143,,,1.725703516,8.476230874,152.7575525,4.33E-35,3.49E-33,484382
ENSCAFG00845006744,,,2.609085501,5.514469266,152.555457,4.79E-35,3.84E-33,607055
ENSCAFG00845003822,LENG1,leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502],2.13802131,5.808501185,152.4720315,5.00E-35,3.98E-33,476388
ENSCAFG00845017467,DLA-DRA,MHC class II DR alpha chain [Source:NCBI gene (formerly Entrezgene);Acc:481731],2.29930545,12.79615394,152.3460968,5.32E-35,4.22E-33,481731
ENSCAFG00845019488,SNRPB2,small nuclear ribonucleoprotein polypeptide B2 [Source:NCBI gene (formerly Entrezgene);Acc:477148],1.672341336,6.086314372,151.641005,7.59E-35,5.98E-33,477148
ENSCAFG00845026489,#N/A,#N/A,2.147729266,8.099410508,151.446416,8.37E-35,6.55E-33,#N/A
ENSCAFG00845022136,VPS72,vacuolar protein sorting 72 homolog [Source:HGNC Symbol;Acc:HGNC:11644],1.698825964,6.737226006,151.1446193,9.74E-35,7.58E-33,475843
ENSCAFG00845003850,KLHDC4,kelch domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25272],1.57561012,6.454301265,150.4753806,1.36E-34,1.06E-32,489668
ENSCAFG00845017208,SRSF1,serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780],1.652776862,8.292849013,150.4300334,1.40E-34,1.07E-32,609693
ENSCAFG00845002902,PSMB5,proteasome 20S subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542],1.978796473,6.975319783,150.2267303,1.55E-34,1.18E-32,100855659
ENSCAFG00845004578,PSME1,,2.116599003,7.902133737,150.1985904,1.57E-34,1.19E-32,480256
ENSCAFG00845019033,RBX1,ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928],1.909721329,7.350778437,150.1743228,1.59E-34,1.20E-32,474494
ENSCAFG00845017464,EIF5B,eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793],1.965063276,7.330572392,149.8821282,1.84E-34,1.38E-32,474556
