gene_id,symbol,gene_name,log2_fold_change,Pvalue,FDR,name,logCPM
ENSMUSG00000039001,Rps21,ribosomal protein S21,2.162053982,1.95E-12,1.38E-10,2,6.272096236
ENSMUSG00000027569,Mrgbp,MRG/MORF4L binding protein,2.097966588,0.000722499,0.004489803,2,3.073911976
ENSMUSG00000027589,Pcmtd2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2,1.114000454,0.000141075,0.001142753,2,7.119403751
ENSMUSG00000031167,Rbm3,"RNA binding motif (RNP1, RRM) protein 3",1.440843817,0.000695111,0.004356356,2,4.930332561
ENSMUSG00000031168,Ebp,phenylalkylamine Ca2+ antagonist (emopamil) binding protein,1.269279873,2.30E-07,4.56E-06,2,8.901836631
ENSMUSG00000031173,Otc,ornithine transcarbamylase,1.150516865,6.39E-09,1.88E-07,2,10.08426691
ENSMUSG00000087424,5730405O15Rik,RIKEN cDNA 5730405O15 gene,2.779384323,0.000912076,0.005405504,2,1.926972974
ENSMUSG00000025037,Maoa,monoamine oxidase A,1.384438688,0.00012791,0.001051874,2,5.441929443
ENSMUSG00000001134,Uxt,ubiquitously expressed prefoldin like chaperone,2.612947385,2.16E-05,0.000234733,2,2.713136188
ENSMUSG00000079297,Gm2223,predicted pseudogene 2223,2.331819731,5.47E-17,1.03E-14,2,7.198739368
ENSMUSG00000006373,Pgrmc1,progesterone receptor membrane component 1,1.000803579,3.63E-05,0.000367147,2,12.08475265
ENSMUSG00000081281,Rpl7-ps9,"ribosomal protein L7, pseudogene 9",2.693994446,2.08E-10,9.21E-09,2,3.937688416
ENSMUSG00000006423,C330007P06Rik,RIKEN cDNA C330007P06 gene,1.153652429,2.27E-05,0.000244988,2,6.791767877
ENSMUSG00000000355,Mcts1,malignant T cell amplified sequence 1,1.535877218,5.53E-06,7.31E-05,2,5.780694139
ENSMUSG00000063785,Utp14a,UTP14A small subunit processome component,1.764694746,4.44E-06,6.09E-05,2,4.502377171
ENSMUSG00000031109,Enox2,ecto-NOX disulfide-thiol exchanger 2,1.232368779,0.0002906,0.002093466,2,5.484889402
ENSMUSG00000031138,F9,coagulation factor IX,1.165849373,4.30E-07,7.80E-06,2,9.446310836
ENSMUSG00000073131,Vma21,VMA21 vacuolar H+-ATPase homolog (S. cerevisiae),1.082065672,1.24E-05,0.000147624,2,7.550276332
ENSMUSG00000031349,Nsdhl,NAD(P) dependent steroid dehydrogenase-like,1.132668234,9.61E-06,0.000118331,2,7.155628283
ENSMUSG00000002015,Bcap31,B cell receptor associated protein 31,1.491806417,2.96E-12,2.02E-10,2,8.567675879
ENSMUSG00000002010,Idh3g,"isocitrate dehydrogenase 3 (NAD+), gamma",1.378621734,6.43E-09,1.89E-07,2,7.371829887
ENSMUSG00000009995,Taz,tafazzin,1.272992482,2.02E-05,0.000221532,2,6.097066084
ENSMUSG00000031197,Vbp1,von Hippel-Lindau binding protein 1,2.385329693,4.35E-14,4.55E-12,2,5.138349818
ENSMUSG00000083482,Gm14706,predicted gene 14706,3.431526372,0.005590061,0.024092485,2,1.239736424
ENSMUSG00000084289,Fth1-ps,"ferritin heavy polypeptide 1, pseudogene",4.117653141,8.02E-05,0.000716593,2,1.259023455
ENSMUSG00000035150,Eif2s3x,"eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked",1.127563569,0.000150038,0.001198706,2,6.230798697
ENSMUSG00000031221,Igbp1,immunoglobulin (CD79A) binding protein 1,1.181563197,2.14E-06,3.22E-05,2,6.874954936
ENSMUSG00000047797,Gjb1,"gap junction protein, beta 1",1.004444346,5.27E-05,0.000504546,2,10.57828301
ENSMUSG00000034160,Ogt,O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase),1.262636841,5.58E-06,7.35E-05,2,7.741899597
ENSMUSG00000031320,Rps4x,"ribosomal protein S4, X-linked",1.023806156,6.27E-07,1.09E-05,2,8.55899478
ENSMUSG00000082464,Rab9b-ps1,"RAB9B, member RAS oncogene family, pseudogene 1",2.813141844,0.008490377,0.033313144,2,1.509537815
ENSMUSG00000031232,Magt1,magnesium transporter 1,1.263994603,2.16E-06,3.24E-05,2,8.396109861
ENSMUSG00000031231,Cox7b,cytochrome c oxidase subunit 7B,1.989434352,7.30E-14,7.20E-12,2,8.141440292
ENSMUSG00000031246,Sh3bgrl,SH3-binding domain glutamic acid-rich protein like,1.559903163,3.72E-13,3.04E-11,2,8.463989001
ENSMUSG00000025525,Apool,apolipoprotein O-like,1.03892499,0.000463603,0.003112547,2,5.942593241
ENSMUSG00000031266,Gla,"galactosidase, alpha",1.6711223,0.000247175,0.001829537,2,4.450767157
ENSMUSG00000052676,Zmat1,"zinc finger, matrin type 1",2.367051071,0.000888734,0.005294927,2,2.473632189
ENSMUSG00000031422,Morf4l2,mortality factor 4 like 2,1.468916566,2.99E-09,9.51E-08,2,7.979342916
ENSMUSG00000031432,Prps1,phosphoribosyl pyrophosphate synthetase 1,1.725154478,1.08E-11,6.61E-10,2,6.48647352
