gene_id,symbol,gene_name,log2_fold_change,Pvalue,FDR,name,logCPM
ENSMUSG00000026049,Tex30,testis expressed 30,1.68089931,0.003156197,0.015417885,1,3.944918194
ENSMUSG00000026047,Poglut2,protein O-glucosyltransferase 2,1.495946393,0.008176835,0.032914743,1,3.6104504
ENSMUSG00000026107,Nabp1,nucleic acid binding protein 1,1.477537064,2.01E-05,0.000218011,1,6.34131544
ENSMUSG00000041426,Hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase,1.041391551,3.73E-06,5.12E-05,1,8.298152671
ENSMUSG00000026097,Ormdl1,ORM1-like 1 (S. cerevisiae),1.513151601,7.78E-06,9.61E-05,1,6.278339256
ENSMUSG00000026094,Stk17b,serine/threonine kinase 17b (apoptosis-inducing),1.345973566,0.000116848,0.000996305,1,5.428193991
ENSMUSG00000025981,Coq10b,coenzyme Q10B,2.794495888,1.58E-05,0.000177414,1,7.515363124
ENSMUSG00000073676,Hspe1,heat shock protein 1 (chaperonin 10),1.003665383,2.38E-05,0.000251851,1,8.188077024
ENSMUSG00000025979,Mob4,"MOB family member 4, phocein",1.586325588,4.36E-11,2.00E-09,1,7.097900485
ENSMUSG00000048495,Tyw5,tRNA-yW synthesizing protein 5,2.391821603,2.13E-07,4.11E-06,1,4.290388801
ENSMUSG00000025971,Maip1,matrix AAA peptidase interacting protein 1,1.675035069,4.07E-05,0.000403566,1,4.940132935
ENSMUSG00000051223,Bzw1,basic leucine zipper and W2 domains 1,1.707122798,3.49E-18,5.83E-16,1,9.194601853
ENSMUSG00000026034,Clk1,CDC-like kinase 1,2.59183103,5.66E-27,3.59E-24,1,7.188961087
ENSMUSG00000026032,Ndufb3,NADH:ubiquinone oxidoreductase subunit B3,1.165048173,8.46E-05,0.000757269,1,6.923673387
ENSMUSG00000026029,Casp8,caspase 8,1.256863294,5.28E-05,0.000507019,1,6.379674245
ENSMUSG00000026021,Sumo1,small ubiquitin-like modifier 1,1.073696743,0.000451315,0.003092228,1,6.254791424
ENSMUSG00000025967,Eef1b2,eukaryotic translation elongation factor 1 beta 2,2.361772675,1.89E-32,2.66E-29,1,8.401765636
ENSMUSG00000087213,2810408I11Rik,RIKEN cDNA 2810408I11 gene,2.294367955,0.003945565,0.018450422,1,2.612795795
ENSMUSG00000084416,Rpl10a-ps1,"ribosomal protein L10A, pseudogene 1",1.052288481,4.09E-05,0.000404029,1,8.619063515
ENSMUSG00000025950,Idh1,"isocitrate dehydrogenase 1 (NADP+), soluble",1.23824735,5.88E-10,2.06E-08,1,11.03901458
ENSMUSG00000039395,Mreg,melanoregulin,1.261040792,0.001173846,0.00681705,1,7.502264261
ENSMUSG00000093956,NA,NA,5.092924077,0.001246362,0.007147162,1,0.716662493
ENSMUSG00000026187,Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5,1.674465758,3.49E-10,1.28E-08,1,6.60980981
ENSMUSG00000039354,Smarcal1,"SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1",1.584408046,1.94E-05,0.000211536,1,5.076544289
ENSMUSG00000039323,Igfbp2,insulin-like growth factor binding protein 2,2.458043454,8.97E-15,7.60E-13,1,9.430091173
ENSMUSG00000026245,Farsb,"phenylalanyl-tRNA synthetase, beta subunit",1.087689817,0.000127783,0.001077963,1,6.910371209
ENSMUSG00000026248,Mrpl44,mitochondrial ribosomal protein L44,1.582635092,3.91E-07,7.05E-06,1,6.098022771
ENSMUSG00000087008,Gm5530,predicted gene 5530,2.350727021,0.008435233,0.033791653,1,2.238137772
ENSMUSG00000090175,Ugt1a9,"UDP glucuronosyltransferase 1 family, polypeptide A9",1.581920556,0.004710951,0.021414334,1,6.90398706
ENSMUSG00000026304,Rab17,"RAB17, member RAS oncogene family",1.394308109,0.000149552,0.001225842,1,5.52607025
ENSMUSG00000026273,Mterf4,mitochondrial transcription termination factor 4,1.416616509,0.000263697,0.001978666,1,4.917438929
ENSMUSG00000026333,Gin1,gypsy retrotransposon integrase 1,1.20885777,0.011138212,0.042223689,1,4.614122218
ENSMUSG00000009905,Kdsr,3-ketodihydrosphingosine reductase,1.837335933,3.55E-11,1.68E-09,1,6.850844526
ENSMUSG00000026315,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8",1.780185092,0.00982117,0.038084781,1,3.076516986
ENSMUSG00000026385,Dbi,diazepam binding inhibitor,2.228422977,2.02E-18,3.52E-16,1,10.97084715
ENSMUSG00000026348,Acmsd,amino carboxymuconate semialdehyde decarboxylase,1.958363574,2.32E-10,8.99E-09,1,6.17219635
ENSMUSG00000036086,Zranb3,"zinc finger, RAN-binding domain containing 3",1.528458897,0.005822237,0.025219761,1,3.671860764
ENSMUSG00000100078,Gm6170,predicted gene 6170,2.418290094,0.000192824,0.001518666,1,3.415826996
ENSMUSG00000045382,Cxcr4,chemokine (C-X-C motif) receptor 4,2.635077601,0.004849703,0.021903889,1,1.743731363
ENSMUSG00000026405,C4bp,complement component 4 binding protein,1.536279397,1.23E-16,1.50E-14,1,11.0243134
ENSMUSG00000026417,Pigr,polymeric immunoglobulin receptor,1.158300495,3.19E-05,0.000327852,1,11.44518223
ENSMUSG00000026427,Eif2d,eukaryotic translation initiation factor 2D,1.089134013,0.00011161,0.000958729,1,6.698732035
ENSMUSG00000090553,Snrpe,small nuclear ribonucleoprotein E,2.769479955,2.06E-08,5.09E-07,1,4.310631932
ENSMUSG00000079139,Gm4204,predicted gene 4204,1.445723064,4.07E-06,5.53E-05,1,6.02432644
ENSMUSG00000026395,Ptprc,"protein tyrosine phosphatase, receptor type, C",1.835507807,1.03E-05,0.000123597,1,4.331187121
ENSMUSG00000026368,F13b,"coagulation factor XIII, beta subunit",1.700192178,1.24E-12,7.68E-11,1,9.645395865
ENSMUSG00000057037,Cfhr1,complement factor H-related 1,1.704760056,1.36E-12,8.34E-11,1,9.015067191
ENSMUSG00000090623,Cfhr3,complement factor H-related 3,2.11356111,4.01E-09,1.17E-07,1,5.552063315
ENSMUSG00000070594,Cfhr4,complement factor H-related 4,2.059828171,1.42E-12,8.64E-11,1,9.651307446
ENSMUSG00000033898,Cfhr2,complement factor H-related 2,2.059244484,6.00E-15,5.18E-13,1,10.65197688
ENSMUSG00000085867,Gm5834,predicted pseudogene 5834,1.919916664,1.15E-08,3.02E-07,1,5.595105723
ENSMUSG00000026365,Cfh,complement component factor h,1.105230709,1.99E-05,0.000215861,1,11.48653486
ENSMUSG00000101795,Gm5835,predicted gene 5835,1.48146979,4.19E-07,7.50E-06,1,6.132436785
ENSMUSG00000099875,Rbm3-ps,"RNA binding motif (RNP1, RRM) protein 3",1.767987776,0.000874331,0.005334219,1,4.096452823
ENSMUSG00000023150,Ivns1abp,influenza virus NS1A binding protein,1.338763644,2.21E-06,3.22E-05,1,9.121771877
ENSMUSG00000008475,Arpc5,"actin related protein 2/3 complex, subunit 5",1.510154715,2.05E-10,8.15E-09,1,8.078915293
ENSMUSG00000033684,Qsox1,quiescin Q6 sulfhydryl oxidase 1,1.074795713,2.91E-05,0.000302915,1,10.1966727
ENSMUSG00000058267,Mrps14,mitochondrial ribosomal protein S14,1.506119278,1.15E-07,2.43E-06,1,6.329429965
ENSMUSG00000014226,Cacybp,calcyclin binding protein,1.161530558,0.000338766,0.002432677,1,6.219448162
ENSMUSG00000026715,Serpinc1,"serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1",1.226765074,1.90E-09,5.89E-08,1,12.7271379
ENSMUSG00000053332,Gas5,growth arrest specific 5,1.645083869,1.03E-08,2.75E-07,1,6.407020441
ENSMUSG00000040181,Fmo1,flavin containing monooxygenase 1,1.077175115,7.81E-05,0.000707753,1,9.351008408
ENSMUSG00000026575,Nme7,NME/NM23 family member 7,2.00353238,0.000107123,0.000925819,1,3.77557856
ENSMUSG00000026574,Dpt,dermatopontin,2.50096442,5.28E-07,9.24E-06,1,3.861236885
ENSMUSG00000084093,Gm16418,predicted pseudogene 16418,2.454463659,9.02E-05,0.000799146,1,2.843808979
ENSMUSG00000052428,Tmco1,transmembrane and coiled-coil domains 1,1.870268574,3.32E-16,3.66E-14,1,8.14102856
ENSMUSG00000026687,Aldh9a1,"aldehyde dehydrogenase 9, subfamily A1",1.095170154,1.24E-07,2.58E-06,1,9.999307302
ENSMUSG00000026688,Mgst3,microsomal glutathione S-transferase 3,1.668333091,6.22E-09,1.74E-07,1,5.817519074
ENSMUSG00000026678,Rgs5,regulator of G-protein signaling 5,2.076767454,4.34E-10,1.57E-08,1,7.063056662
ENSMUSG00000089838,Gm2962,predicted pseudogene 2962,1.187640515,0.001345424,0.007642731,1,6.486080054
ENSMUSG00000026656,Fcgr2b,"Fc receptor, IgG, low affinity IIb",1.025791319,6.95E-05,0.000638386,1,7.279757051
ENSMUSG00000059089,Fcgr4,"Fc receptor, IgG, low affinity IV",2.08180393,3.93E-05,0.000392431,1,3.955395427
ENSMUSG00000058076,Sdhc,"succinate dehydrogenase complex, subunit C, integral membrane protein",1.905056016,2.21E-15,2.08E-13,1,9.167080733
ENSMUSG00000005677,Nr1i3,"nuclear receptor subfamily 1, group I, member 3",1.049224041,0.003729655,0.017654183,1,6.175041951
ENSMUSG00000062729,Ppox,protoporphyrinogen oxidase,1.451722655,1.37E-05,0.000156709,1,5.449591611
ENSMUSG00000062963,Ufc1,ubiquitin-fold modifier conjugating enzyme 1,1.986294707,2.49E-13,1.69E-11,1,7.698023582
ENSMUSG00000026641,Usf1,upstream transcription factor 1,1.089660771,0.001059889,0.00627974,1,5.653319406
ENSMUSG00000004707,Ly9,lymphocyte antigen 9,2.70113695,0.004547353,0.02078977,1,1.913751852
ENSMUSG00000059058,Tma7-ps,"translational machinery associated 7 homolog (S. cerevisiae), pseudogene",1.501022831,6.30E-05,0.000588582,1,5.281351839
ENSMUSG00000038147,Cd84,CD84 antigen,1.890574626,0.000183474,0.001457055,1,3.983633233
ENSMUSG00000026542,Apcs,serum amyloid P-component,2.973977372,1.67E-33,3.39E-30,1,7.307199834
ENSMUSG00000026526,Fh1,fumarate hydratase 1,1.05432972,1.25E-05,0.000146183,1,9.400625225
ENSMUSG00000039783,Kmo,kynurenine 3-monooxygenase (kynurenine 3-hydroxylase),1.397331087,4.32E-12,2.41E-10,1,10.54208641
ENSMUSG00000026492,Tfb2m,"transcription factor B2, mitochondrial",1.457528835,2.73E-05,0.000285465,1,5.666133102
ENSMUSG00000060743,H3f3a,H3.3 histone A,2.452538915,5.30E-34,1.35E-30,1,8.253267363
ENSMUSG00000038768,9130409I23Rik,RIKEN cDNA 9130409I23 gene,1.247528772,8.28E-06,0.000102119,1,6.709188566
ENSMUSG00000039377,Hlx,H2.0-like homeobox,1.309352051,0.006287033,0.026821813,1,4.014021745
ENSMUSG00000026621,Mtarc1,mitochondrial amidoxime reducing component 1,1.703023526,7.04E-13,4.45E-11,1,10.20472431
ENSMUSG00000039349,C130074G19Rik,RIKEN cDNA C130074G19 gene,1.813989905,5.04E-08,1.14E-06,1,8.973697645
ENSMUSG00000026617,Bpnt1,"3'(2'), 5'-bisphosphate nucleotidase 1",1.43797946,9.35E-10,3.08E-08,1,8.213502383
ENSMUSG00000039246,Lyplal1,lysophospholipase-like 1,1.278314611,0.000204907,0.001602898,1,5.870125498
ENSMUSG00000016194,Hsd11b1,hydroxysteroid 11-beta dehydrogenase 1,2.274133972,1.25E-28,9.30E-26,1,10.95913772
ENSMUSG00000016481,Cr1l,complement component (3b/4b) receptor 1-like,1.229002156,5.74E-07,9.93E-06,1,7.115125601
ENSMUSG00000026664,Phyh,phytanoyl-CoA hydroxylase,1.018593897,1.03E-05,0.000123597,1,12.17611361
ENSMUSG00000026669,Mcm10,minichromosome maintenance 10 replication initiation factor,1.091871488,0.001838887,0.009930461,1,8.560166689
ENSMUSG00000037254,Itih2,"inter-alpha trypsin inhibitor, heavy chain 2",1.590662105,1.84E-09,5.74E-08,1,11.4164226
ENSMUSG00000026767,Mindy3,MINDY lysine 48 deubiquitinase 3,1.449265982,3.91E-08,9.07E-07,1,6.897674485
ENSMUSG00000026723,Trdmt1,tRNA aspartic acid methyltransferase 1,3.223061151,0.000152985,0.001246664,1,1.870118616
ENSMUSG00000051154,Commd3,COMM domain containing 3,1.120008267,0.000144217,0.001191271,1,7.24523545
ENSMUSG00000026781,Acbd5,acyl-Coenzyme A binding domain containing 5,1.046888225,2.78E-06,3.95E-05,1,9.987921056
ENSMUSG00000026775,Yme1l1,YME1-like 1 (S. cerevisiae),2.70916933,1.22E-27,8.17E-25,1,8.798237431
ENSMUSG00000026986,Hnmt,histamine N-methyltransferase,2.885239612,2.71E-23,1.04E-20,1,7.092296024
ENSMUSG00000083116,Gm13410,predicted gene 13410,2.359457028,0.000502775,0.003372018,1,2.90994234
ENSMUSG00000036850,Mrpl41,mitochondrial ribosomal protein L41,1.075781449,0.002491534,0.012734509,1,5.658880439
ENSMUSG00000036752,Tubb4b,"tubulin, beta 4B class IVB",1.570527816,2.84E-06,4.03E-05,1,8.215164129
ENSMUSG00000047617,Paxx,non-homologous end joining factor,1.269807829,0.003970952,0.018535002,1,5.500297402
ENSMUSG00000062647,Rpl7a,ribosomal protein L7A,1.666136398,3.38E-10,1.24E-08,1,6.416530773
ENSMUSG00000069020,Urm1,ubiquitin related modifier 1,1.122392011,0.002481959,0.012700906,1,5.099075457
ENSMUSG00000085401,Slc39a1-ps,"solute carrier family 39 (zinc transporter), member 1, pseudogene",1.367679992,0.012615203,0.046289775,1,3.77557856
ENSMUSG00000015337,Endog,endonuclease G,1.230157818,6.20E-05,0.000580568,1,6.139961976
ENSMUSG00000039356,Exosc2,exosome component 2,1.460561572,0.001659736,0.009122828,1,4.557043823
ENSMUSG00000038900,Rpl12,ribosomal protein L12,2.0877872,0.002385187,0.012314509,1,2.967630797
ENSMUSG00000026864,Hspa5,heat shock protein 5,1.011178584,0.002194893,0.011510271,1,11.11826365
ENSMUSG00000026874,Hc,hemolytic complement,1.137220501,3.03E-05,0.000313866,1,11.42038245
ENSMUSG00000035875,AI182371,expressed sequence AI182371,1.512326258,6.82E-10,2.33E-08,1,9.979819539
ENSMUSG00000026880,Stom,stomatin,1.190866638,1.90E-06,2.83E-05,1,7.866156678
ENSMUSG00000026895,Ndufa8,NADH:ubiquinone oxidoreductase subunit A8,1.665125193,4.83E-11,2.18E-09,1,7.950726289
ENSMUSG00000062997,Rpl35,ribosomal protein L35,1.662715205,0.000410016,0.002866498,1,4.461317038
ENSMUSG00000082536,Gm13456,predicted gene 13456,2.497488517,1.55E-18,2.77E-16,1,9.548027564
ENSMUSG00000081999,Gm13461,predicted gene 13461,2.460028757,2.02E-15,1.93E-13,1,6.197119728
ENSMUSG00000026866,Kynu,kynureninase,1.063112054,0.000907369,0.005509932,1,9.744630383
ENSMUSG00000026766,Mmadhc,"methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria",1.484322894,6.11E-10,2.12E-08,1,7.3246758
ENSMUSG00000083287,Idi1-ps1,"isopentenyl-diphosphate delta isomerase, pseudogene 1",1.391317502,1.48E-05,0.00016825,1,6.03785557
ENSMUSG00000026839,Upp2,uridine phosphorylase 2,2.565124448,0.000497231,0.003352111,1,11.35344631
ENSMUSG00000026977,Marchf7,membrane associated ring-CH-type finger 7,1.262775842,4.32E-06,5.83E-05,1,6.499632069
ENSMUSG00000060703,Cd302,CD302 antigen,1.547324211,4.90E-16,5.32E-14,1,9.524816066
ENSMUSG00000064289,Tank,TRAF family member-associated Nf-kappa B activator,1.197648555,0.00209329,0.01105508,1,5.583456444
ENSMUSG00000026914,Psmd14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14",1.419145398,1.24E-07,2.58E-06,1,7.273694341
ENSMUSG00000027048,Abcb11,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",1.67965213,3.35E-07,6.14E-06,1,11.43002113
ENSMUSG00000047965,Rpl9-ps7,"ribosomal protein L9, pseudogene 7",2.234087281,1.96E-06,2.90E-05,1,4.033930872
ENSMUSG00000027010,Slc25a12,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12",1.757779682,1.73E-08,4.35E-07,1,5.841619122
ENSMUSG00000018770,Atp5g3,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)",1.026616135,2.04E-06,3.00E-05,1,10.11247064
ENSMUSG00000002732,Fkbp7,FK506 binding protein 7,1.384173669,0.013638203,0.049415133,1,3.693697133
ENSMUSG00000002733,Plekha3,"pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3",1.872129823,2.37E-09,7.17E-08,1,6.090449917
ENSMUSG00000081611,Gm13651,predicted gene 13651,3.251752888,1.45E-06,2.22E-05,1,2.683360341
ENSMUSG00000026999,Nup35,nucleoporin 35,2.074105803,0.002160732,0.011361711,1,3.0816603
ENSMUSG00000081400,Gm13680,predicted gene 13680,1.235844198,0.001179117,0.006833819,1,5.235957987
ENSMUSG00000059588,Calcrl,calcitonin receptor-like,1.660770444,9.28E-09,2.48E-07,1,6.523055566
ENSMUSG00000027082,Tfpi,tissue factor pathway inhibitor,1.434349807,0.00231931,0.01206307,1,4.481259803
ENSMUSG00000076437,Selenoh,selenoprotein H,1.876593807,0.000159254,0.001292768,1,4.006669776
ENSMUSG00000027080,Med19,mediator complex subunit 19,1.31016622,0.000157226,0.001277942,1,5.309113861
ENSMUSG00000027079,Clp1,"CLP1, cleavage and polyadenylation factor I subunit",1.193902809,0.001798806,0.009772204,1,5.165842918
ENSMUSG00000027076,Timm10,translocase of inner mitochondrial membrane 10,1.610179312,2.17E-05,0.00023194,1,5.445881122
ENSMUSG00000045392,Olfr1033,olfactory receptor 1033,1.703607814,0.000341889,0.002450947,1,4.633824946
ENSMUSG00000005510,Ndufs3,NADH:ubiquinone oxidoreductase core subunit S3,1.114000531,7.01E-07,1.18E-05,1,7.560545343
ENSMUSG00000027244,Atg13,autophagy related 13,1.052463115,6.72E-05,0.000621863,1,7.674919216
ENSMUSG00000027195,Hsd17b12,hydroxysteroid (17-beta) dehydrogenase 12,1.161721807,2.00E-06,2.94E-05,1,9.283255257
ENSMUSG00000075014,Gm10800,predicted gene 10800,4.220052258,3.99E-06,5.44E-05,1,5.297609733
ENSMUSG00000027163,Commd9,COMM domain containing 9,1.621063152,3.88E-05,0.000388274,1,5.085181902
ENSMUSG00000027187,Cat,catalase,1.012131989,1.61E-06,2.43E-05,1,13.548386
ENSMUSG00000027176,Cstf3,"cleavage stimulation factor, 3' pre-RNA, subunit 3",1.366043947,2.78E-05,0.000290775,1,5.543280531
ENSMUSG00000027173,Depdc7,DEP domain containing 7,1.084702561,0.001049398,0.006237434,1,6.272220675
ENSMUSG00000027170,Eif3m,"eukaryotic translation initiation factor 3, subunit M",1.09489073,1.21E-05,0.000141514,1,7.35425723
ENSMUSG00000042670,Immp1l,IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae),1.327789191,0.003538958,0.016916648,1,4.806499283
ENSMUSG00000027166,Dnajc24,DnaJ heat shock protein family (Hsp40) member C24,2.107425754,0.000236676,0.001806881,1,3.169445114
ENSMUSG00000041660,Bbox1,"butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)",1.398275926,5.35E-12,2.89E-10,1,9.497437577
ENSMUSG00000027131,Emc4,ER membrane protein complex subunit 4,1.637843254,6.65E-08,1.47E-06,1,6.49915164
ENSMUSG00000027349,Fam98b,"family with sequence similarity 98, member B",1.789553743,8.87E-06,0.000108229,1,5.389047258
ENSMUSG00000046814,Gchfr,GTP cyclohydrolase I feedback regulator,1.331892233,1.94E-08,4.85E-07,1,8.286486343
ENSMUSG00000027305,Ndufaf1,NADH:ubiquinone oxidoreductase complex assembly factor 1,2.119290539,1.68E-12,1.02E-10,1,6.123173409
ENSMUSG00000082029,H3f3c,"H3 histone, family 3C",3.373242373,1.99E-18,3.51E-16,1,4.784740779
ENSMUSG00000027285,Haus2,"HAUS augmin-like complex, subunit 2",1.2378475,0.000297234,0.002177543,1,5.682606186
ENSMUSG00000023572,Ccndbp1,cyclin D-type binding-protein 1,1.27283283,0.000266734,0.001994503,1,5.753141168
ENSMUSG00000060802,B2m,beta-2 microglobulin,1.998389647,3.18E-14,2.43E-12,1,12.16647355
ENSMUSG00000005804,Bloc1s6,"biogenesis of lysosomal organelles complex-1, subunit 6, pallidin",1.103825958,0.002887403,0.014370405,1,5.462368538
ENSMUSG00000005803,Sqor,sulfide quinone oxidoreductase,1.01177925,1.32E-07,2.71E-06,1,9.232844029
ENSMUSG00000044145,1810024B03Rik,RIKEN cDNA 1810024B03 gene,2.837611774,0.008237975,0.033150341,1,1.49460865
ENSMUSG00000003662,Ciao1,cytosolic iron-sulfur protein assembly 1,1.773599607,8.21E-10,2.75E-08,1,7.056098504
ENSMUSG00000027371,Fahd2a,fumarylacetoacetate hydrolase domain containing 2A,1.405053534,5.86E-05,0.000553143,1,5.194708846
ENSMUSG00000051319,Mtln,mitoregulin,1.220435414,0.00279994,0.014006322,1,5.234804176
ENSMUSG00000027397,Slc20a1,"solute carrier family 20, member 1",1.691037565,1.68E-05,0.00018699,1,6.726822347
ENSMUSG00000027404,Snrpb,small nuclear ribonucleoprotein B,1.602773105,2.95E-10,1.10E-08,1,7.025774945
ENSMUSG00000027327,1700037H04Rik,RIKEN cDNA 1700037H04 gene,1.5526807,0.001702495,0.009332847,1,4.490427165
ENSMUSG00000068264,Ap5s1,"adaptor-related protein 5 complex, sigma 1 subunit",1.213824472,0.000476334,0.003235708,1,5.392155607
ENSMUSG00000027342,Pcna,proliferating cell nuclear antigen,1.333430246,2.54E-05,0.000267306,1,5.938248925
ENSMUSG00000084839,Gm14097,predicted gene 14097,1.380808381,0.003444975,0.016529633,1,4.54321881
ENSMUSG00000027353,Mcm8,minichromosome maintenance 8 homologous recombination repair factor,2.005979941,0.009522943,0.037086895,1,2.690111104
ENSMUSG00000027357,Crls1,cardiolipin synthase 1,3.143790232,3.52E-33,5.58E-30,1,6.80890429
ENSMUSG00000027261,Hao1,"hydroxyacid oxidase 1, liver",1.551831586,2.20E-12,1.31E-10,1,9.875430367
ENSMUSG00000027274,Mkks,McKusick-Kaufman syndrome,1.167251197,0.005296353,0.023445782,1,5.096885216
ENSMUSG00000008333,Snrpb2,U2 small nuclear ribonucleoprotein B,2.149713413,2.19E-09,6.68E-08,1,5.30612238
ENSMUSG00000027447,Cst3,cystatin C,1.098612884,5.29E-07,9.24E-06,1,8.670376997
ENSMUSG00000068134,Zfp120,zinc finger protein 120,1.474761778,0.000962194,0.005789582,1,4.865814899
ENSMUSG00000027454,Gins1,GINS complex subunit 1 (Psf1 homolog),1.635442428,0.009591574,0.037274141,1,3.205002697
ENSMUSG00000081087,Rps15a-ps7,"ribosomal protein S15A, pseudogene 7",2.887434207,5.91E-13,3.77E-11,1,4.918876496
ENSMUSG00000032715,Trib3,tribbles pseudokinase 3,1.492806699,0.00117934,0.006833819,1,5.100343038
ENSMUSG00000042814,Mcts2,malignant T cell amplified sequence 2,1.41054742,0.013829795,0.049909915,1,3.63672755
ENSMUSG00000042745,Id1,"inhibitor of DNA binding 1, HLH protein",2.763820933,4.33E-08,1.00E-06,1,4.664363368
ENSMUSG00000083097,Gm14494,predicted gene 14494,1.460637525,3.76E-06,5.16E-05,1,5.767278707
ENSMUSG00000027487,Cdk5rap1,CDK5 regulatory subunit associated protein 1,2.383148985,1.31E-07,2.70E-06,1,4.271492022
ENSMUSG00000027620,Rbm39,RNA binding motif protein 39,1.230078694,8.39E-08,1.82E-06,1,8.422140227
ENSMUSG00000046229,Scand1,SCAN domain-containing 1,1.414836978,0.000323651,0.002342686,1,4.68631265
ENSMUSG00000016921,Srsf6,serine and arginine-rich splicing factor 6,2.085772769,2.47E-21,6.82E-19,1,7.641364952
ENSMUSG00000017009,Sdc4,syndecan 4,1.551939189,6.46E-10,2.23E-08,1,11.08329349
ENSMUSG00000017723,Wfdc2,WAP four-disulfide core domain 2,1.58888467,0.000549597,0.003641796,1,4.165430709
ENSMUSG00000039671,Zmynd8,"zinc finger, MYND-type containing 8",1.101880309,0.000378931,0.002672729,1,6.31784128
ENSMUSG00000074578,Zfas1,"zinc finger, NFX1-type containing 1, antisense RNA 1",1.601010251,0.001148393,0.006694215,1,4.290388801
ENSMUSG00000052033,Pfdn4,prefoldin 4,1.74371192,0.000904127,0.005497446,1,4.265344271
ENSMUSG00000027513,Pck1,"phosphoenolpyruvate carboxykinase 1, cytosolic",1.432143177,2.91E-06,4.11E-05,1,13.23297478
ENSMUSG00000016252,Atp5e,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",1.322548928,8.52E-07,1.40E-05,1,8.601080759
ENSMUSG00000094786,Gm14403,predicted gene 14403,1.704853513,0.003951996,0.018473689,1,4.271492022
ENSMUSG00000095362,Gm14325,predicted gene 14325,2.841186717,1.05E-05,0.000125523,1,3.008452264
ENSMUSG00000074521,Gm14327,predicted gene 14327,1.731104374,0.000449544,0.003085085,1,4.060686382
ENSMUSG00000074519,Zfp971,zinc finger protein 971,1.868209524,0.013809308,0.049862457,1,2.757077692
